DATE,DFF
6/29/15,0.14
6/30/15,0.08
7/1/15,0.13
7/2/15,0.13
7/3/15,0.13
7/4/15,0.13
7/5/15,0.13
7/6/15,0.13
7/7/15,0.13
7/8/15,0.13
7/9/15,0.13
7/10/15,0.13
7/11/15,0.13
7/12/15,0.13
7/13/15,0.13
7/14/15,0.13
7/15/15,0.13
7/16/15,0.14
7/17/15,0.13
7/18/15,0.13
7/19/15,0.13
7/20/15,0.14
7/21/15,0.13
7/22/15,0.13
7/23/15,0.13
7/24/15,0.13
7/25/15,0.13
7/26/15,0.13
7/27/15,0.14
7/28/15,0.14
7/29/15,0.14
7/30/15,0.14
7/31/15,0.08
8/1/15,0.08
8/2/15,0.08
8/3/15,0.14
8/4/15,0.14
8/5/15,0.14
8/6/15,0.14
8/7/15,0.14
8/8/15,0.14
8/9/15,0.14
8/10/15,0.14
8/11/15,0.15
8/12/15,0.15
8/13/15,0.15
8/14/15,0.14
8/15/15,0.14
8/16/15,0.14
8/17/15,0.15
8/18/15,0.15
8/19/15,0.15
8/20/15,0.15
8/21/15,0.15
8/22/15,0.15
8/23/15,0.15
8/24/15,0.15
8/25/15,0.15
8/26/15,0.14
8/27/15,0.14
8/28/15,0.14
8/29/15,0.14
8/30/15,0.14
8/31/15,0.08
9/1/15,0.14
9/2/15,0.14
9/3/15,0.14
9/4/15,0.14
9/5/15,0.14
9/6/15,0.14
9/7/15,0.14
9/8/15,0.14
9/9/15,0.14
9/10/15,0.14
9/11/15,0.14
9/12/15,0.14
9/13/15,0.14
9/14/15,0.14
9/15/15,0.14
9/16/15,0.14
9/17/15,0.14
9/18/15,0.14
9/19/15,0.14
9/20/15,0.14
9/21/15,0.14
9/22/15,0.14
9/23/15,0.14
9/24/15,0.14
9/25/15,0.13
9/26/15,0.13
9/27/15,0.13
9/28/15,0.13
9/29/15,0.13
9/30/15,0.07
10/1/15,0.13
10/2/15,0.13
10/3/15,0.13
10/4/15,0.13
10/5/15,0.13
10/6/15,0.13
10/7/15,0.13
10/8/15,0.13
10/9/15,0.13
10/10/15,0.13
10/11/15,0.13
10/12/15,0.13
10/13/15,0.13
10/14/15,0.13
10/15/15,0.13
10/16/15,0.13
10/17/15,0.13
10/18/15,0.13
10/19/15,0.13
10/20/15,0.13
10/21/15,0.13
10/22/15,0.12
10/23/15,0.12
10/24/15,0.12
10/25/15,0.12
10/26/15,0.12
10/27/15,0.12
10/28/15,0.12
10/29/15,0.12
10/30/15,0.07
10/31/15,0.07
11/1/15,0.07
11/2/15,0.12
11/3/15,0.12
11/4/15,0.12
11/5/15,0.12
11/6/15,0.12
11/7/15,0.12
11/8/15,0.12
11/9/15,0.12
11/10/15,0.12
11/11/15,0.12
11/12/15,0.12
11/13/15,0.12
11/14/15,0.12
11/15/15,0.12
11/16/15,0.13
11/17/15,0.13
11/18/15,0.12
11/19/15,0.12
11/20/15,0.12
11/21/15,0.12
11/22/15,0.12
11/23/15,0.12
11/24/15,0.12
11/25/15,0.12
11/26/15,0.12
11/27/15,0.12
11/28/15,0.12
11/29/15,0.12
11/30/15,0.08
12/1/15,0.13
12/2/15,0.13
12/3/15,0.13
12/4/15,0.13
12/5/15,0.13
12/6/15,0.13
12/7/15,0.13
12/8/15,0.13
12/9/15,0.14
12/10/15,0.14
12/11/15,0.14
12/12/15,0.14
12/13/15,0.14
12/14/15,0.15
12/15/15,0.15
12/16/15,0.15
12/17/15,0.37
12/18/15,0.37
12/19/15,0.37
12/20/15,0.37
12/21/15,0.36
12/22/15,0.36
12/23/15,0.36
12/24/15,0.36
12/25/15,0.36
12/26/15,0.36
12/27/15,0.36
12/28/15,0.36
12/29/15,0.36
12/30/15,0.35
12/31/15,0.2
1/1/16,0.2
1/2/16,0.2
1/3/16,0.2
1/4/16,0.36
1/5/16,0.36
1/6/16,0.36
1/7/16,0.36
1/8/16,0.36
1/9/16,0.36
1/10/16,0.36
1/11/16,0.36
1/12/16,0.36
1/13/16,0.36
1/14/16,0.36
1/15/16,0.36
1/16/16,0.36
1/17/16,0.36
1/18/16,0.36
1/19/16,0.36
1/20/16,0.37
1/21/16,0.37
1/22/16,0.38
1/23/16,0.38
1/24/16,0.38
1/25/16,0.38
1/26/16,0.38
1/27/16,0.38
1/28/16,0.38
1/29/16,0.29
1/30/16,0.29
1/31/16,0.29
2/1/16,0.38
2/2/16,0.38
2/3/16,0.38
2/4/16,0.38
2/5/16,0.38
2/6/16,0.38
2/7/16,0.38
2/8/16,0.38
2/9/16,0.38
2/10/16,0.38
2/11/16,0.38
2/12/16,0.38
2/13/16,0.38
2/14/16,0.38
2/15/16,0.38
2/16/16,0.38
2/17/16,0.37
2/18/16,0.38
2/19/16,0.38
2/20/16,0.38
2/21/16,0.38
2/22/16,0.38
2/23/16,0.38
2/24/16,0.38
2/25/16,0.37
2/26/16,0.37
2/27/16,0.37
2/28/16,0.37
2/29/16,0.29
3/1/16,0.36
3/2/16,0.37
3/3/16,0.37
3/4/16,0.36
3/5/16,0.36
3/6/16,0.36
3/7/16,0.36
3/8/16,0.36
3/9/16,0.36
3/10/16,0.36
3/11/16,0.36
3/12/16,0.36
3/13/16,0.36
3/14/16,0.36
3/15/16,0.37
3/16/16,0.37
3/17/16,0.37
3/18/16,0.37
3/19/16,0.37
3/20/16,0.37
3/21/16,0.37
3/22/16,0.37
3/23/16,0.37
3/24/16,0.37
3/25/16,0.37
3/26/16,0.37
3/27/16,0.37
3/28/16,0.37
3/29/16,0.37
3/30/16,0.37
3/31/16,0.25
4/1/16,0.37
4/2/16,0.37
4/3/16,0.37
4/4/16,0.37
4/5/16,0.37
4/6/16,0.37
4/7/16,0.37
4/8/16,0.37
4/9/16,0.37
4/10/16,0.37
4/11/16,0.37
4/12/16,0.37
4/13/16,0.37
4/14/16,0.37
4/15/16,0.37
4/16/16,0.37
4/17/16,0.37
4/18/16,0.37
4/19/16,0.37
4/20/16,0.37
4/21/16,0.37
4/22/16,0.37
4/23/16,0.37
4/24/16,0.37
4/25/16,0.37
4/26/16,0.37
4/27/16,0.37
4/28/16,0.37
4/29/16,0.3
4/30/16,0.3
5/1/16,0.3
5/2/16,0.37
5/3/16,0.37
5/4/16,0.37
5/5/16,0.37
5/6/16,0.37
5/7/16,0.37
5/8/16,0.37
5/9/16,0.37
