y,Date,y_scaled,t
9191,1/1/2015,0.04841139413859217,0.0
18222,1/2/2015,0.0959800265469945,0.0007836990595611285
6282,1/3/2015,0.03308893243157828,0.001567398119122257
11700,1/4/2015,0.06162695152013147,0.0023510971786833857
20022,1/5/2015,0.10546109601163012,0.003134796238244514
12003,1/6/2015,0.06322293154667846,0.003918495297805642
12791,1/7/2015,0.0673735330678634,0.004702194357366771
11667,1/8/2015,0.06145313191327982,0.0054858934169279
11093,1/9/2015,0.0584297242062238,0.006269592476489028
8189,1/10/2015,0.04313359880327834,0.007053291536050157
10199,1/11/2015,0.05372079303878811,0.007836990595611285
11589,1/12/2015,0.061042285569812275,0.008620689655172414
17429,1/13/2015,0.09180308872174114,0.009404388714733543
18105,1/14/2015,0.09536375703179319,0.01018808777429467
19803,1/15/2015,0.10430756589343278,0.0109717868338558
19084,1/16/2015,0.10052040536839223,0.011755485893416929
10818,1/17/2015,0.05698122748246002,0.012539184952978056
2435,1/18/2015,0.012825780081326506,0.013322884012539185
15733,1/19/2015,0.08286981438172893,0.014106583072100314
22740,1/20/2015,0.11977751090322988,0.014890282131661442
21228,1/21/2015,0.11181341255293598,0.01567398119122257
22630,1/22/2015,0.11919811221372438,0.016457680250783698
22248,1/23/2015,0.11718601858289615,0.017241379310344827
6723,1/24/2015,0.03541179445041401,0.018025078369905956
14421,1/25/2015,0.0759591681941723,0.018808777429467086
5979,1/26/2015,0.03149295240503129,0.019592476489028215
2343,1/27/2015,0.012341192086467353,0.02037617554858934
9907,1/28/2015,0.05218275288119167,0.02115987460815047
14171,1/29/2015,0.07464235299075068,0.0219435736677116
12945,1/30/2015,0.0681846912331711,0.022727272727272728
7328,1/31/2015,0.03859848724269431,0.023510971786833857
9186,2/1/2015,0.04838505783452374,0.024294670846394983
2635,2/2/2015,0.013879232244063797,0.025078369905956112
7816,2/3/2015,0.0411689105197733,0.02586206896551724
13775,2/4/2015,0.07255651770853086,0.02664576802507837
12607,2/5/2015,0.06640435707814508,0.0274294670846395
11948,2/6/2015,0.0629332322019257,0.02821316614420063
10045,2/7/2015,0.052909634873480396,0.028996865203761754
9671,2/8/2015,0.050939679329161665,0.029780564263322883
7234,2/9/2015,0.03810336472620778,0.030564263322884012
14526,2/10/2015,0.07651223057960937,0.03134796238244514
16204,2/11/2015,0.08535069422497524,0.03213166144200627
16248,2/12/2015,0.08558245370077745,0.032915360501567396
10773,2/13/2015,0.05674420074584413,0.03369905956112853
6392,2/14/2015,0.03366833112108379,0.034482758620689655
3289,2/15/2015,0.017324020816214737,0.03526645768025078
5423,2/16/2015,0.028564355392621622,0.03605015673981191
6869,2/17/2015,0.03618081452921223,0.03683385579937304
12995,2/18/2015,0.06844805427385542,0.03761755485893417
10080,2/19/2015,0.05309398900195942,0.0384012539184953
8056,2/20/2015,0.042433053115058045,0.03918495297805643
4164,2/21/2015,0.02193287402819038,0.039968652037617555
6648,2/22/2015,0.03501674988938752,0.04075235109717868
10519,2/23/2015,0.055406316499167774,0.041536050156739814
10675,2/24/2015,0.05622800918610286,0.04231974921630094
15655,2/25/2015,0.08245896803826139,0.04310344827586207
14744,2/26/2015,0.07766049343699302,0.0438871473354232
14313,2/27/2015,0.07539030402629417,0.04467084639498432
8975,2/28/2015,0.047273665802835894,0.045454545454545456
4042,3/1/2015,0.021290268208920632,0.04623824451410658
10767,3/2/2015,0.05671259718096201,0.047021943573667714
9430,3/3/2015,0.04967026947306323,0.04780564263322884
10842,3/4/2015,0.0571076417419885,0.048589341692789965
2604,3/5/2015,0.013715947158839517,0.0493730407523511
8248,3/6/2015,0.043444367191285846,0.050156739811912224
8849,3/7/2015,0.0466099909403114,0.050940438871473356
13701,3/8/2015,0.07216674040831805,0.05172413793103448
24159,3/9/2015,0.12725175399785096,0.052507836990595615
17626,3/10/2015,0.09284073910203737,0.05329153605015674
33446,3/11/2015,0.17616880517455702,0.054075235109717866
26931,3/12/2015,0.1418526009733898,0.054858934169279
24699,3/13/2015,0.13009607483724164,0.055642633228840124
5592,3/14/2015,0.02945452247013463,0.05642633228840126
13635,3/15/2015,0.07181910119461475,0.05721003134796238
26091,3/16/2015,0.13742810188989318,0.05799373040752351
22462,3/17/2015,0.11831321239702505,0.05877742946708464
11465,3/18/2015,0.060389145228915156,0.05956112852664577
16176,3/19/2015,0.08520321092219202,0.0603448275862069
11465,3/20/2015,0.060389145228915156,0.061128526645768025
16176,3/21/2015,0.08520321092219202,0.06191222570532915
16098,3/22/2015,0.08479236457872448,0.06269592476489028
18957,3/23/2015,0.09985146324505405,0.06347962382445141
23581,3/24/2015,0.12420727724754019,0.06426332288401254
21456,3/25/2015,0.11301434801845649,0.06504702194357367
22876,3/26/2015,0.12049385837389125,0.06583072100313479
21520,3/27/2015,0.11335145271053242,0.06661442006269593
1562,3/28/2015,0.008227461390978236,0.06739811912225706
17373,3/29/2015,0.0915081221161747,0.06818181818181818
26828,3/30/2015,0.1413100731095801,0.06896551724137931
20532,3/31/2015,0.1081473990266102,0.06974921630094044
31708,4/1/2015,0.16701430588036997,0.07053291536050156
43134,4/2/2015,0.22719802793755137,0.0713166144200627
23643,4/3/2015,0.12453384741798874,0.07210031347962383
27764,4/4/2015,0.14624022923119062,0.07288401253918496
29709,4/5/2015,0.15648505151381076,0.07366771159874608
43529,4/6/2015,0.2292785959589575,0.07445141065830721
24209,4/7/2015,0.12751511703853527,0.07523510971786834
26004,4/8/2015,0.13696985019910246,0.07601880877742946
23891,4/9/2015,0.12584012809978298,0.0768025078369906
